Title;;;Keywords;;;Abstract;;;Type
Sensing the presence of gods and spirits across cultures and faiths;;;Culture Comunication Interdisciplinary program clinical-style Industrialized Phenomenology;;;Hearing the voice of God, feeling the presence of the dead, being possessed by a demonic spirit—such events are among the most remarkable human sensory experiences. They change lives and in turn shape history. Why do some people report experiencing such events while others do not? We argue that experiences of spiritual presence are facilitated by cultural models that represent the mind as “porous,” or permeable to the world, and by an immersive orientation toward inner life that allows a person to become “absorbed” in experiences. In four studies with over 2,000 participants from many religious traditions in the United States, Ghana, Thailand, China, and Vanuatu, porosity and absorption played distinct roles in determining which people, in which cultural settings, were most likely to report vivid sensory experiences of what they took to be gods and spirits.;;;SC
Dissociation and Dissociative Disorders: Challenging Conventional Wisdom;;;Dissociation dissociative disorder dissociative identity disorder trauma;;;Conventional wisdom holds that dissociation is a coping mechanism triggered by exposure to intense stressors. Drawing on recent research from multiple laboratories, we challenge this prevailing posttraumatic model of dissociation and dissociative disorders. Proponents of this model hold that dissociation and dissociative disorders are associated with (a) intense objective stressors (e.g., childhood trauma), (b) serious cognitive deficits that impede processing of emotionally laden information, and (c) an avoidant information-processing style characterized by a tendency to forget painful memories. We review findings that contradict these widely accepted assumptions and argue that a sociocognitive model better accounts for the extant data. We further propose a perspective on dissociation based on a recently established link between a labile sleep–wake cycle and memory errors, cognitive failures, problems in attentional control, and difficulties in distinguishing fantasy from reality. We conclude that this perspective may help to reconcile the posttraumatic and sociocognitive models of dissociation and dissociative disorders.;;;SC
Differential Diagnosis Between Non-pathological Psychotic and Spiritual Experiences and Mental Disorders: A Contribution from Latin American Studies to the ICD-11. ;;;Psychotic disorders Spirituality Diagnosis differential Classification;;;To review research articles in psychiatry and psychology involving Latin American populations and/or produced by Latin American scholars to investigate the differential diagnosis between spiritual/anomalous experiences and mental disorders in order to contribute to the validity of the International Classification of Diseases towards its 11th edition in this area. METHOD: We searched electronic databases (PubMed, PsycINFO, Scopus, and SciELO) using relevant keywords (possession, trance, religious experience, spiritual experience, latin, Brazil) for articles with original psychiatric and psychological data on spiritual experiences. We also analyzed the references of the articles found and contacted authors for additional references and data. RESULTS: There is strong evidence that psychotic and anomalous experiences are frequent in the general population and that most of them are not related to psychotic disorders. Often, spiritual experiences involve non-pathological dissociative and psychotic experiences. Although spiritual experiences are not usually related to mental disorders, they may cause transient distress and are commonly reported by psychotic patients. CONCLUSION: We propose some features that suggest the non-pathological nature of a spiritual experience: lack of suffering, lack of social or functional impairment, compatibility with the patient's cultural background and recognition by others, absence of psychiatric comorbidities, control over the experience, and personal growth over time.;;;SC
Comparison of Brazilian Spiritist Mediumship and Dissociative Identity Disorder;;;Similarities differences Dissociative identity disorder ;;;We studied the similarities and differences between Brazilian Spiritistic mediums and North American dissociative identity disorder (DID) patients. Twenty-four mediums selected among different Spiritistic organizations in São Paulo, Brazil, were interviewed using the Dissociative Disorder Interview Schedule, and their responses were compared with those of DID patients described in the literature. The results from Spiritistic mediums were similar to published data on DID patients only with respect to female prevalence and high frequency of Schneiderian first-rank symptoms. As compared with individuals with DID, the mediums differed in having better social adjustment, lower prevalence of mental disorders, lower use of mental health services, no use of antipsychotics, and lower prevalence of histories of physical or sexual childhood abuse, sleepwalking, secondary features of DID, and symptoms of borderline personality. Thus, mediumship differed from DID in having better mental health and social adjustment, and a different clinical profile.;;;SC
Anomalous information reception by mediums: A meta-analysis of the scientific evidence;;;Mediumship Anomalous information Sitter Meta-analysis Survival hypothesis;;;Background and purpose Mediumship is the ostensible phenomenon of human-mediated communication between deceased and living persons. In this paper, we perform a meta-analysis of all available modern experimental evidence, specifically from 2001 to December 2019, investigating the accuracy of apparently anomalously received information provided by mediums about deceased individuals. Methods 14 papers passed our selection criteria, for a total of 18 experiments. Both Bayesian and frequentist random effects models were used to estimate the aggregate effect size across studies.;;;SC
Characteristics of English-speaking trance channelers;;;Trance channeling Mediumship Anomalous information reception Spirit possession;;;Historical records suggest that channeling has existed globally, in a variety of cultures, for thousands of years, and recent research suggests that channeling is more prevalent than most people realize. The present study used an online survey to explore mental health factors, personality characteristics, subjective experiences, and the impact of channeling on 83 participants who self-identified as trance channelers. Most participants endorsed being spiritual but not religious as adults, and on average the channeling experiences began at middle age. The majority of participants did not report pathological levels of dissociative or psychotic symptoms, anxiety or depression. Compared to relevant norms, participants reported similar scores on most personality factors, psychological absorption and empathy. Participants’ average scores on emotional and environmental sensitivity corresponded to being designated as sensory-processing sensitives. Participants reported high levels of noetic beliefs and experiences, particularly beliefs in life after death, non-local consciousness, and telepathy. Most participants reported that their channeling process is willful and consensual and that they are consciously aware of the channeling state while it occurs. The majority of participants also reported a positive impact of channeling on their lives. Lower psychotic symptoms, older age when the trance channeling experiences began, and higher sensitivity scores predicted a greater positive impact of trance on participants’ lives. Given that trance channeling has played a role in religious and spiritual traditions around the world throughout history, the present study provides an important exploration of the trance channeling phenomenon.;;;SC
How Place Matters for Migrants’ Socio-Legal Experiences: Local Reasoning about the Law and the Importance of Becoming a “Moral Insider”;;;Migrants Interaction Local residents Law Morally;;;In this article, we argue that migrants’ socio-legal experiences in the places where they settle are formed in interaction with how local residents morally reason about the law. Specifically, based on nine months of fieldwork in an impoverished Italian town, we argue that aligning with how local residents approach the law, including when they justify disobeying it, matters a great deal for migrants’ lives. Focusing on the workings of a reception center for asylum seekers, we first show how local residents regularly support various violations of the law by referring to alternative—and in their view higher—principles of justice. Migrants find themselves caught up in these local moral tensions, at times even becoming involved in illegal practices unbeknownst to them. We then show how migrants’ reactions to the marginality of the law in the town affect their access to local support. Those who align with local nonlegal moral norms obtain access to opportunities, while those who in similar situations invoke the primacy of legality tend to experience ostracization. By investigating the dynamic role of local moralities in situated interaction, this article contributes to both the sociology of morality and the sociology of migration. It shows how moral decision-making processes can and should be studied in their collective dimension, beyond individual-level experiments. Further, with its focus on processes of moral (mis)alignment, it allows us to grasp how place matters for migrants’ lives beyond overly general notions of ‘hostile’ versus ‘hospitable’ localities.;;;SC
Legal Consciousness of Undocumented Latinos: Fear and Stigma as Barriers to Claims-Making for First- and 1.5-Generation Immigrants;;;Immigrants Experiences Population Adults live Daily lifes;;;This article examines the legal consciousness and incorporation experiences of undocumented immigrants in the United States. Although this population may be disaggregated along several axes, one central distinction among them is their age at migration. Those who migrated as adults live out their daily lives in different social contexts than those who migrated as children. Therefore, although all undocumented immigrants are legally banned, their identities, sense of belonging, and interpretation of their status vary. Based on ethnographic observations and in-depth interviews of Latino undocumented immigrants from 2001 to 2010, I examine how illegality is experienced differently by social position. The findings suggest that the role of life-stage at migration and work-versus-school contexts importantly inform immigrants' legal consciousness. Fear predominates in the legal consciousness of first-generation undocumented immigrants, while the legal consciousness of the 1.5 generation is more heavily infused with stigma. Fear and stigma are both barriers to claims-making, but they may affect undocumented immigrants' potential for collective mobilization in different ways.;;;SC
Illegality, motherhood, and place: Undocumented Latinas making meaning and negotiating daily life;;;Context of reception Illegalily Immigrant itegration Legal violence Place Undocumented motherhood Multidimensional agency;;;Federal immigration policies powerfully shape immigrants' and their families' lives, but the consequences are uneven across place. Taking seriously the notion of place as socially constructed, this article draws from two qualitative studies, one in the new rural immigrant destination of Southwest, Montana, and the other in the traditional urban destination of Los Angeles, California, to examine how undocumented immigrants navigate daily life in the US. In the face of legal violence and place-specific forms of exploitation, mothers exert strained forms of agency through access to or creative redefinitions of local work, social services, and networks. They make meaning of place as best as they can through the lens of motherhood, regardless of how they achieve financial or emotional stability for their children. The analysis reveals that illegality intersects with dynamic characteristics of place to produce varying experiences of exploitation and constrained agency centered often on motherhood.;;;SC
How cities shape refugee centres: ‘deservingness’ and ‘good aid’ in a Sicilian town;;;Hostility suffering moral economy asylum Italy;;;While scholars have devoted increasing attention to the dynamics at play within refugee centres, analyses have often been driven by the ‘exceptionality’ of these institutions, overlooking the ways in which what happens inside the centres is largely connected to what goes on outside of them. Building on ethnographic fieldwork in a Sicilian refugee centre and the surrounding town, this paper investigates the extent to which economic, historical and political configurations inform how local actors conceptualise aid and how they interact with refugees on a daily basis. Overall, the study found that both centre workers and the general population mobilise moral arguments that can only be understood in light of dynamics that are external to the centre itself. These findings ultimately point to the extent to which state-level dysfunctions influence popular images of what a ‘deserving’ refugee might look like as well as local understandings of the ‘right way’ of providing help.;;;SC
Legal Consciousness Reconsidered;;;Legal consciousness relationality identity power mobilization;;;Legal consciousness is a vibrant research field attracting growing numbers of scholars worldwide. Yet differing assumptions about aims and methods have generated vigorous debate, typically resulting from a failure to recognize that three different clusters of scholars—identified here as the Identity, Hegemony, and Mobilization schools—are pursuing different goals and deploying the concept of legal consciousness in different ways. Scholarship associated with these three schools demonstrates that legal consciousness is actually a flexible paradigm with multiple applications rather than a monolithic approach. Furthermore, a new generation of scholars has energized the field in recent years, focusing on marginalized peoples and non-Western settings. Through their findings, and as a result of broader trends across the social sciences, relational legal consciousness has taken on greater importance. Legal consciousness research should be imagined on a continuum ranging from individualistic conceptualizations of thought and action to interactive, co-constitutive approaches.;;;SC
Metropolitan context and immigrant rights experiences: DACA awareness and support in Houston;;;Undocumented immigrantsfederal immigration polic yDACA immigrant rights metropolitan context Houston;;;This paper examines how metropolitan contexts of reception shaped immigrants’ experiences of the Deferred Action for Childhood Arrivals (DACA) program. Drawing on interviews with 32 DACA applicants in metro Houston, we analyze how respondents thought about DACA in relation to their safety and sense of belonging, as well as their educational pathways and professional aspirations. We also examine how they interacted with different local actors and institutions – schools, consulates, civic organizations, and private attorneys and notarios – as they sought help in applying for DACA. We find that undocumented youth in the progressive and more welcoming urban core of metro Houston articulated motivations for applying for DACA that were similar to their counterparts residing in the less diverse and much more heavily policed anti-immigrant suburbs and rural areas ringing the city. Yet DACA applicants in outlying areas, where there were fewer civic organizations and more transportation challenges, found it especially challenging to get DACA application assistance. As a result, they more often turned to expensive attorneys and notarios for help. These findings underscore the need to think of urban, suburban, and rural contexts of reception in relation, and not in isolation, of each other when considering immigrants’ experiences of federal immigration policies.;;;SC
Socialising place attachment: place, social memory and embodied affordances;;;place attachment belonging social memory relational embodied;;;The significance of place attachment for later life has been convincingly demonstrated. Scholars have offered useful models that help account for the depth of feeling bound up in place attachment in later life, how this attachment is achieved, and its relevance for belonging and identity. To date, however, this focus has largely been on the individual level of experience. This article draws on sociological and anthropological perspectives to consider how place attachment is forged and experienced in dynamic interaction with other entities and other processes: how place attachment is also a collective, relational and embodied process, caught up and experienced via social memory practices and sensorial, bodily knowledge. This resonates with and contributes to the ‘relational turn’ which has attracted burgeoning interest in the larger home disciplines of sociology, human geography and anthropology, and reciprocally helps them extend and build their interaction with critical ageing studies. In making this argument, I draw on two periods of anthropological, ethnographic participant-observation that I conducted in a semi-rural village in the former coalfields in South Yorkshire, England.;;;SC
Pragmatism and Ethnomethodology;;;Pragmatist Empirical explored recovery Ethnomethodology practices;;;Three features of pragmatist thought remain empirically underdeveloped or insufficiently explored: its call for a return to experience or recovery of concrete practices; its idea that obstacles in experience give rise to efforts at creative problem-solving; and its understanding of language in use, including conversational interaction, as an order of empirical practices in and through which problem-solving efforts are undertaken and social order ongoingly and collaboratively accomplished. Our aim in this article is to show that there exists a long-standing, theoretically informed, and empirically rich research tradition in which these pragmatist themes are further developed, albeit in ways the originators might have foreseen only in dimly programmatic form. This research tradition is ethnomethodology. We present in bold strokes the classical pragmatist ideas of Peirce, James, Mead, Dewey, plus Addams, focusing on the three themes mentioned above. We show how Garfinkel’s work surpasses even that of the pragmatists in developing the larger implications and promise of those themes. We demonstrate how ethnomethodological studies of work and science and conversation analysis, respectively, continue as well to develop the original pragmatist impulse in unsuspected ways. Finally, we step back from this account to ponder the broader significance of the connections we have explored between pragmatism and ethnomethodology.;;;SC
LAW AND MORAL JUSTIFICATION;;;law justification authority justice;;;Many prominent legal philosophers believe that law makes some type of moral claim in virtue of its nature. Although the law is not an intelligent agent, the attribution of a claim to law does not need to be as mysterious as some theorists believe. It means that law-making and law- applying acts are intelligible only in the light of a certain presupposition, even if a lawmaker or a law-applier subjectively disbelieves the content of that presupposition. In this paper, I aim to clarify what type of moral claim would be suitable for law if law were to make a claim to be morally justified. I then argue that legal practice is perfectly intelligible without moral presuppositions - that is, that the law does not necessarily make moral claims.;;;SC
A contribution to the critique of moral reason;;;critical thinking moral anthropology moral economy morality;;;Responding to Carlo Caduff’s comments on an earlier paper of mine provides me with the opportunity to refine my defense and illustration of moral anthropology. After having recalled that my personal encounter with moralities and ethics was of the kind of Monsieur Jourdain’s discovery of prose, rather than a deliberate effort to apply moral philosophy to social science, I attempt to clarify my positioning in terms of critical thinking and my reformulation of the concept of moral economies, using my research on the intolerable and on humanitarianism. My explicit intention is to go beyond or rather, more modestly, to veer away from the alternative between the Durkheim-Kant legacy and the Foucault-Aristotle tradition, and from the dialectic between morality as code and ethics as freedom. It is to explore two epistemological frontiers: one related to the place occupied by the anthropologist, which I suggest should be on the threshold of rather than inside or outside Plato’s cave; the other one linked to the separation of a moral and ethical matter from the social gangue of human lives, which I find problematic because of the loss of history and politics it implies. I contend that both frontiers engage what it means and implies to be doing social science in the contemporary world.;;;SC
Legal Consciousness in Action: Lay People and Accountability in the Jury Room;;;Legal consciousness Experience Interpret Law Natural conversation;;;This paper argues that lay people’s legal consciousness, defined as how they experience and interpret the law and legal meanings, can be studied by observing natural conversation. It proposes a framework that analyzes the contexts when law is invoked to account for social behavior, which enables examination of individuals’ perceptions of law through their utilization of and reactions to it. This framework is applied to recordings of a jury deliberation, an ideal setting due to its institutionally-controlled conditions. The analysis demonstrates that jurors wield law as a conversational resource to create distinctions between legitimate and illegitimate conduct based upon their endogenous understandings of these boundaries. The invocation of law is an important element of the deliberation because it permits jurors to enforce these distinctions and understand their completed duties as aligning with the legal system’s ideals. This paper also discusses the ability of this framework to study the law’s influence in other social institutions, as well as those institutions’ own “consciousness.”;;;SC
The New Sociology of Morality;;;morality moral systems sociological theory;;;Sociology was once integral to the scientific study of morality, but its explicit focus has waned over the past half-century. This article calls for greater sociological engagement in order to speak to the resurgence of the study of morality in cognate fields. We identify important treatments of morality, some of which are not explicitly so, and identify those treatments that build a distinctly sociological focus on morality: room for culturally divergent understandings of its content, a focus on antecedent social factors that shape it, and a concern with ecologically valid explorations of its social importance.;;;SC
Why do People Comply with the Law? Legitimacy and the Influence of Legal Institutions ;;;Analysin data People Law Legal Institutions ;;;This paper extends Tyler’s procedural justice model of public compliance with the law. Analysing data from a national probability sample of adults in England and Wales, we present a new conceptualization of legitimacy based on not just the recognition of power, but also the justification of power. We find that people accept the police’s right to dictate appropriate behaviour not only when they feel a duty to obey officers, but also when they believe that the institution acts according to a shared moral purpose with citizens. Highlighting a number of different routes by which institutions can influence citizen behaviour, our broader normative model provides a better framework for explaining why people are willing to comply with the law.;;;SC
Migrants' Relationship with Law in the Host Country: Exploring the Role of Legal Culture;;;Migration Legal Pluralism Legal Culture Legal Consciousness Agency Transnationalism;;;This paper asks how to study migrants' relationship with the legal system upon arrival in the host country? Concentrating on the issues of plurality, it articulates different ways of explaining migrants' legal adaptations to the new legal environment. To clarify the fragmented debates I organise the approaches around the relative importance of the main analytical perspectives: legal assimilation, legal pluralism and legal consciousness/culture. I critically examine the assimilationist approach and demonstrate how the alternative perspectives are both an advance and a critique of it. The paper concludes that for studying migrants' legal adaptations the relevant question between legal pluralism and legal consciousness/culture approaches should not be one of ‘either/or’ but ‘how much’ or ‘to what extent’, depending on the populations under scrutiny. They both contribute to new ways in which ‘law’ is conceptualised that have implications for the study of legal orders as a whole.;;;SC
Toward a Comparative Sociology of Valuation and Evaluation;;;worth value evaluative practices social processes heterarchies;;;This review discusses North American and European research from the sociology of valuation and evaluation (SVE), a research topic that has attracted considerable attention in recent years. The goal is to bring various bodies of work into conversation with one another in order to stimulate more cumulative theory building. This is accomplished by focusing on (a) subprocesses such as categorization and legitimation, (b) the conditions that sustain heterarchies, and (c) valuation and evaluative practices. The article reviews these literatures and provides directions for a future research agenda.;;;SC
The Social Production of Latin@ Visibilities and Invisibilities: Geographies of Power in Small Town America;;;sociospatial dynamics unfolding Social Production;;;This paper explores the sociospatial dynamics unfolding in Perry, a rural Iowa town that has been facing rapid change since the 1990s due to growing Latin@ settlement. We focus on what we call the social production of Latin@ visibilities and invisibilities: spatialized practices by individuals, families, communities, and institutions that render different Latin@ groups visible or invisible, with repercussions for survival, community integration, and political praxis. We discuss the border within as an extension of border politics and borderlands rhetorics to the US “heartland”, and how the entrenchment of a regime of deportability creates racialized and gendered conditions for the in/visibility of Latin@ immigrants and Latin@s more broadly. We conclude by considering some of the theoretical and political implications of our analysis for such geographies of power and the social relations, locations, and discourses that constitute and are constituted by them.;;;SC
Multidimensional Poverty Index with Dependence-Based Weights;;;Multidimensional perception Poverty phenomenon Dependence Perception;;;An important aspect of the multidimensional perception of poverty phenomenon is the dependence among the underlying indicators. However, the commonly applied approaches to multidimensional poverty assessment do not capture this interdependence. In this paper we propose a new multidimensional poverty index accounting for the dependence and innovate over the weighting approach. The weighting method proposed here incorporates the copula-based rank dependence among well-being dimensions and contains necessary normative parameters. In particular, the latter includes the elasticity of substitution among dimensions and the belief-adjusting parameter, which specifies the direction of relation between the dependence and the weights. The results of poverty evaluation in the selected European countries suggest that multidimensional poverty is driven not only by the individual shortfalls, but also by the degree of interdependence among well-being indicators. Moreover, multidimensional poverty is relatively higher, if dimensional weights are in direct proportion to the dependence compared to the cases of inverse relation and equal weighting. Considering the novel weighting approach, this paper contributes to the literature on composite indicators by suggesting a channel to enclose the dependence structure in the multidimensional poverty index.;;;SC
